이미지URL,상품명,가격,행사유형,행사분류
https://image.woodongs.com/imgsvr/item/GD_8801068930771_001.jpg,삼립)핫스파이시후랑크70G,"2,200",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809872451758_001.jpg,넷플릭스)오징어게임어묵바80G,"3,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801007711140_002.jpg,CJ)국산콩연두부140G,"2,400",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801066056428_003.jpg,사조)닭가슴살마일드100G,"4,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801066056435_003.jpg,사조)닭가슴살블랙페퍼100G,"4,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801066056688_003.jpg,사조)닭가슴살훈제100G,"4,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8806002023397_002.jpg,썬키스트)오렌지소다600ML,"2,200",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8806002023410_002.jpg,썬키스트)자두자몽소다제로600ML,"2,200",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_6974906992001_001.jpg,태항)봄날의그린티500ML,"2,200",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_6974906992025_001.jpg,태항)붉은빛의우롱티500ML,"2,200",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809809700645_002.jpg,웰그린)스위츠레몬녹차제로500ML,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801097168909_001.jpg,동아)데미소다레드애플캔350ML,"1,900",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801392099564_002.jpg,CJ)얼티브키즈바나나120ML,"1,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8801392099489_002.jpg,CJ)얼티브키즈초코120ML,"1,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809396242900_005.jpg,편스)장민호의장어추어탕600G,"15,900",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809795333551_001.jpg,널담)완전영양통밀식빵(비트),"2,300",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809795333612_001.jpg,널담)완전영양통밀식빵(톳),"2,300",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809795333285_001.jpg,널담)완전영양통밀식빵(플레인),"2,300",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_4902750435230_003.jpg,Y)탕후루딸기사탕젤리,"2,500",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809617949724_002.jpg,Y)글레이즈드마카&버터피칸1900,"1,900",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809617949748_002.jpg,Y)마누카마카&체리피칸1900,"1,900",1+1,1+1 행사
https://image.woodongs.com/imgsvr/item/GD_8809617949731_002.jpg,Y)유자마카&메이플피칸1900,"1,900",1+1,1+1 행사
