이미지URL,상품명,가격,행사유형,행사분류,증정상품이미지URL
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045890692.JPG,오뚜기)맛있는작은밥150g,1700,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045892207.JPG,오뚜기)컵밥김치참치덮밥,5400,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045897585.JPG,오뚜기)컵밥얼큰순후추돼지국밥,4800,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007029641.JPG,CJ)스팸라이트340g,8900,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007029658.JPG,CJ)스팸라이트200g,6900,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007117515.JPG,CJ)스팸싱글클래식80g,3900,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007348810.JPG,CJ)스팸싱글라이트80g,3900,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007512235.JPG,CJ)스팸클래식340g,8900,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007512259.JPG,CJ)스팸클래식200g,6900,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007795409.JPG,밸런스밀프로틴쉐이크바나나50g,3600,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007795461.JPG,CJ)밸런스밀프로틴쉐이크견과50g,3600,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007989402.JPG,CJ)밸런스밀프로틴쉐이크카카오50g,3600,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045022475.JPG,오뚜기)보들보들치즈볶음면매운맛,2000,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045067896.JPG,오뚜기)컵누들로제맛소컵,1800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045315072.JPG,오뚜기)컵누들짬뽕맛소컵,1800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045362038.JPG,오뚜기)열치즈라면큰컵,2000,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045431314.JPG,오뚜기)진비빔면(큰컵),1800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045555041.JPG,오뚜기)열튀김우동큰컵,2000,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045571362.JPG,오뚜기)진라면순한맛큰컵,1400,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045571577.JPG,오뚜기)컵누들매콤한맛소컵,1800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045571638.JPG,오뚜기)진라면매운맛큰컵,1400,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045573090.JPG,오뚜기)스낵면큰컵,1800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045684192.JPG,오뚜기)컵누들참깨라면맛소컵,1800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045688114.JPG,오뚜기)컵누들매콤찜닭소컵,1800,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801045720760.JPG,오뚜기)열려라참깨라면큰컵,2000,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801392002168.JPG,CJ)스팸닭가슴살200g,6900,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801392090172.JPG,CJ)스팸싱글닭가슴살80g,4000,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007373218.JPG,CJ)비비고한식간장김자반20g,3200,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007526492.JPG,CJ)비비고사골곰탕500g,2200,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007528557.JPG,CJ)비비고두부듬뿍김치찌개460g,9900,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007528595.JPG,CJ)비비고두부듬뿍된장찌개460g,9900,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007528618.JPG,CJ)비비고스팸부대찌개460G,7900,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007535319.JPG,CJ)비비고직화참기름김1봉,900,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007561677.JPG,CJ)비비고미역국500g,5900,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007625058.JPG,CJ)비비고직화참기름김12봉,10800,1+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007628851.JPG,CJ)비비고소고기장터국500g,5900,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007712079.JPG,CJ)비비고갈비탕400G,7900,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007737089.JPG,CJ)비비고차돌된장찌개460G,7900,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007761749.JPG,CJ)비비고돼지고기김치찌개460G,7900,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007792736.JPG,CJ)비비고시래기감자탕460g,7900,2+1,,
https://msave.emart24.co.kr/cmsbo/upload/nHq/plu_image/500x500/8801007795386.JPG,CJ)밸런스밀프로틴쉐이크귀리50g,3600,2+1,,
